I_INDEX,C2,DEVICE,VALUE,C5,C6,C7,TIME,C9,C10,C11,C12,C13,C14,C15
195763750,NULL,sensor.th10_bat_voltage,3.696,NULL,NULL,NULL,2022-10-22 01:02:57,NULL,NULL,1527674,0,01GFYKDS8FN8JDCVM8P9X8AV2E,NULL,NULL
195763751,NULL,sensor.th11_bat_capacity,48,NULL,NULL,NULL,2022-10-22 01:02:59,NULL,195763725,1527712,0,01GFYKDVV9FNEQ4WZDMET6J2X9,NULL,NULL
195763752,NULL,sensor.solar_pv_instant_power_w,2,NULL,NULL,NULL,2022-10-22 01:03:00,NULL,NULL,62,0,01GFYKDWE1HTW033HRT5D3ECR8,NULL,NULL
195763753,NULL,sensor.sie_l3_power_gratuit_w,2,NULL,NULL,NULL,2022-10-22 01:03:00,NULL,195763718,1005598,0,01GFYKDWE1HTW033HRT5D3ECR8,NULL,NULL
195763754,NULL,sensor.sie_l3_energy_gratuit_wh,330471.642,NULL,NULL,NULL,2022-10-22 01:03:00,NULL,195763719,1005643,0,01GFYKDWF90JTM2QJEHFQEF3ZX,NULL,NULL
195763755,NULL,sensor.energy_meter_1_a0,2.09,NULL,NULL,NULL,2022-10-22 01:03:01,NULL,195763722,995390,0,01GFYKDXTBDNBSF11126VN3QXW,NULL,NULL
195763756,NULL,sensor.l3_lumieres_1er_ssol_courant_consomme,2,NULL,NULL,NULL,2022-10-22 01:03:01,NULL,195763723,997937,0,01GFYKDXTBDNBSF11126VN3QXW,NULL,NULL
195763757,NULL,sensor.l3_lumieres_1er_ssol_eval_power_consomme,469,NULL,NULL,NULL,2022-10-22 01:03:01,NULL,195763724,1005628,0,01GFYKDXTBDNBSF11126VN3QXW,NULL,NULL
195763758,NULL,sensor.sonoff_10013bff51_power,66.73,NULL,NULL,NULL,2022-10-22 01:02:55,NULL,195763748,1231806,0,01GFYKDQ18FVYXED5H09KPN398,NULL,NULL
195763759,NULL,sensor.th11_bat_voltage,3.737,NULL,NULL,NULL,2022-10-22 01:02:56,NULL,195763745,1527713,0,01GFYKDRCA88FEHFB4DBT7FPRR,NULL,NULL
195763760,NULL,sensor.l3_maison_courant_consomme,11.936,NULL,NULL,NULL,2022-10-22 01:02:56,NULL,NULL,997942,0,01GFYKDRY2456A6BAC48Y3PRD2,NULL,NULL
195763761,NULL,sensor.sonoff_10013bff51_current,0.46,NULL,NULL,NULL,2022-10-22 01:02:58,NULL,195763747,1231805,0,01GFYKDTXJRKK9X9FEXA2AN4RR,NULL,NULL
195763762,NULL,sensor.th10_bat_voltage,3.695,NULL,NULL,NULL,2022-10-22 01:02:59,NULL,195763750,1527674,0,01GFYKDV6VZDXTXSC3MX3GA9B9,NULL,NULL
195763763,NULL,sensor.maison_l3_power_w,2442,NULL,NULL,NULL,2022-10-22 01:03:00,NULL,195763742,75,0,01GFYKDWE1HTW033HRT5D3ECR8,NULL,NULL
195763764,NULL,sensor.maison_l3_energy_w,1203986.389,NULL,NULL,NULL,2022-10-22 01:03:00,NULL,195763743,998714,0,01GFYKDWEXM1DZBBCYK01BS30D,NULL,NULL
195763765,NULL,sensor.maison_power_w,2459,NULL,NULL,NULL,2022-10-22 01:03:00,NULL,195763744,1001146,0,01GFYKDWE1HTW033HRT5D3ECR8,NULL,NULL
195763766,NULL,sensor.maison_energy_w,1585508.475,NULL,NULL,NULL,2022-10-22 01:03:00,NULL,195763746,1001215,0,01GFYKDWFF4Q6ERR7Z0EPM4Z3X,NULL,NULL
195763767,NULL,sensor.th11_bat_capacity,47,NULL,NULL,NULL,2022-10-22 01:03:01,NULL,195763751,1527712,0,01GFYKDXSXZVY09JJ5EXXGPJRY,NULL,NULL
